time,epoch,batch,loss,cost
1min31sec,0,0,-2.285,13.791
0min1sec,0,10,25.996,11.869
0min1sec,0,20,20.566,10.966
0min1sec,0,30,15.758,10.411
0min1sec,0,40,12.747,10.005
0min1sec,0,50,10.492,9.703
0min1sec,0,60,8.866,9.474
0min1sec,0,70,7.733,9.285
0min1sec,0,80,6.821,9.126
0min1sec,0,90,6.073,8.998
0min1sec,0,100,5.483,8.890
0min1sec,0,110,5.005,8.799
0min1sec,0,120,4.624,8.715
0min1sec,0,130,4.260,8.645
0min1sec,0,140,3.979,8.579
0min1sec,0,150,3.708,8.523
0min1sec,0,160,3.485,8.473
0min1sec,0,170,3.281,8.427
0min1sec,0,180,3.105,8.386
0min1sec,0,190,2.940,8.345
0min1sec,0,200,2.799,8.307
0min1sec,0,210,2.666,8.273
0min1sec,0,220,2.532,8.243
0min1sec,0,230,2.424,8.213
0min1sec,0,240,2.325,8.185
0min1sec,0,250,2.223,8.160
0min1sec,0,260,2.134,8.136
0min1sec,0,270,2.041,8.115
0min1sec,0,280,1.973,8.094
0min1sec,0,290,1.902,8.074
0min1sec,0,300,1.841,8.055
0min1sec,0,310,1.777,8.038
0min1sec,0,320,1.723,8.022
0min1sec,0,330,1.675,8.007
0min1sec,0,340,1.625,7.992
0min1sec,0,350,1.584,7.977
0min1sec,0,360,1.548,7.963
0min1sec,0,370,1.501,7.950
0min1sec,0,380,1.468,7.937
0min1sec,0,390,1.436,7.924
0min1sec,0,400,1.399,7.912
0min1sec,0,410,1.366,7.901
0min1sec,0,420,1.338,7.890
0min1sec,0,430,1.313,7.879
0min1sec,0,440,1.279,7.869
0min1sec,0,450,1.249,7.859
0min1sec,0,460,1.220,7.849
0min1sec,0,470,1.190,7.840
0min1sec,0,480,1.168,7.830
0min1sec,0,490,1.150,7.819
0min1sec,0,500,1.132,7.810
0min1sec,0,510,1.105,7.802
0min1sec,0,520,1.090,7.793
0min1sec,0,530,1.075,7.785
0min1sec,0,540,1.062,7.776
0min1sec,0,550,1.047,7.769
0min1sec,0,560,1.035,7.761
0min1sec,0,570,1.020,7.754
0min1sec,0,580,1.005,7.747
0min1sec,0,590,0.992,7.740
0min1sec,0,600,0.979,7.733
0min1sec,0,610,0.967,7.727
0min1sec,0,620,0.954,7.720
0min1sec,0,630,0.940,7.713
0min1sec,0,640,0.929,7.707
0min1sec,0,650,0.922,7.700
0min1sec,0,660,0.908,7.694
0min1sec,0,670,0.898,7.689
0min1sec,0,680,0.893,7.682
0min1sec,0,690,0.882,7.676
0min1sec,0,700,0.872,7.669
0min1sec,0,710,0.860,7.664
0min1sec,0,720,0.851,7.658
0min1sec,0,730,0.841,7.653
0min1sec,0,740,0.831,7.648
0min1sec,0,750,0.819,7.643
0min1sec,0,760,0.811,7.639
0min1sec,0,770,0.805,7.634
0min1sec,0,780,0.796,7.630
0min1sec,0,790,0.791,7.625
0min1sec,0,800,0.781,7.620
0min1sec,0,810,0.775,7.616
0min1sec,0,820,0.768,7.612
0min1sec,0,830,0.761,7.607
0min1sec,0,840,0.753,7.603
0min1sec,0,850,0.747,7.599
0min1sec,0,860,0.739,7.595
0min1sec,0,870,0.732,7.590
0min1sec,0,880,0.726,7.586
0min1sec,0,890,0.717,7.583
0min1sec,0,900,0.714,7.579
0min1sec,0,910,0.710,7.575
0min1sec,0,920,0.702,7.572
0min1sec,0,930,0.698,7.568
0min1sec,0,940,0.693,7.564
0min1sec,0,950,0.686,7.561
0min1sec,0,960,0.680,7.558
0min1sec,0,970,0.675,7.555
0min1sec,0,980,0.672,7.551
0min1sec,0,990,0.667,7.548
0min1sec,0,1000,0.662,7.544
0min1sec,0,1010,0.659,7.541
0min1sec,0,1020,0.655,7.538
0min1sec,0,1030,0.652,7.534
0min1sec,0,1040,0.648,7.531
0min1sec,0,1050,0.644,7.528
0min1sec,0,1060,0.641,7.525
0min1sec,0,1070,0.636,7.522
0min1sec,0,1080,0.632,7.519
0min1sec,0,1090,0.629,7.516
0min1sec,0,1100,0.627,7.514
0min1sec,0,1110,0.624,7.511
0min1sec,0,1120,0.620,7.508
0min1sec,0,1130,0.616,7.505
0min1sec,0,1140,0.613,7.502
0min1sec,0,1150,0.609,7.499
0min1sec,0,1160,0.606,7.497
0min1sec,0,1170,0.604,7.494
0min1sec,0,1180,0.600,7.491
0min1sec,0,1190,0.597,7.489
0min1sec,0,1200,0.594,7.486
0min1sec,0,1210,0.590,7.484
0min1sec,0,1220,0.587,7.482
0min1sec,0,1230,0.586,7.479
0min1sec,0,1240,0.584,7.477
0min1sec,0,1250,0.582,7.474
0min1sec,0,1260,0.579,7.472
0min1sec,0,1270,0.575,7.469
0min1sec,0,1280,0.574,7.467
0min1sec,0,1290,0.571,7.465
0min1sec,0,1300,0.570,7.463
0min1sec,0,1310,0.568,7.460
0min1sec,0,1320,0.566,7.458
0min1sec,0,1330,0.563,7.456
0min1sec,0,1340,0.560,7.454
0min1sec,0,1350,0.558,7.451
0min1sec,0,1360,0.557,7.449
0min1sec,0,1370,0.555,7.447
0min1sec,0,1380,0.553,7.445
0min1sec,0,1390,0.551,7.442
0min1sec,0,1400,0.548,7.440
0min1sec,0,1410,0.546,7.438
0min1sec,0,1420,0.544,7.436
0min1sec,0,1430,0.542,7.435
0min1sec,0,1440,0.541,7.432
0min1sec,0,1450,0.538,7.431
0min1sec,0,1460,0.535,7.429
0min1sec,0,1470,0.534,7.427
0min1sec,0,1480,0.533,7.425
0min1sec,0,1490,0.531,7.423
0min1sec,0,1500,0.529,7.421
0min1sec,0,1510,0.526,7.419
0min1sec,0,1520,0.524,7.417
0min1sec,0,1530,0.522,7.415
0min1sec,0,1540,0.520,7.413
0min1sec,0,1550,0.519,7.411
0min1sec,0,1560,0.517,7.409
0min1sec,0,1570,0.516,7.408
0min1sec,0,1580,0.514,7.406
0min1sec,0,1590,0.514,7.404
0min1sec,0,1600,0.513,7.402
0min1sec,0,1610,0.512,7.400
0min1sec,0,1620,0.510,7.399
0min1sec,0,1630,0.509,7.397
0min1sec,0,1640,0.508,7.395
0min1sec,0,1650,0.506,7.394
0min1sec,0,1660,0.504,7.392
0min1sec,0,1670,0.503,7.390
0min1sec,0,1680,0.502,7.389
0min1sec,0,1690,0.500,7.387
0min1sec,0,1700,0.499,7.385
0min1sec,0,1710,0.497,7.384
0min1sec,0,1720,0.496,7.382
0min1sec,0,1730,0.495,7.381
0min1sec,0,1740,0.493,7.380
0min1sec,0,1750,0.493,7.378
0min1sec,0,1760,0.492,7.377
0min1sec,0,1770,0.490,7.375
0min1sec,0,1780,0.489,7.374
0min1sec,0,1790,0.488,7.372
0min1sec,0,1800,0.486,7.371
0min1sec,0,1810,0.485,7.369
0min1sec,0,1820,0.484,7.368
0min1sec,0,1830,0.482,7.367
0min1sec,0,1840,0.481,7.365
0min1sec,0,1850,0.480,7.364
0min1sec,0,1860,0.478,7.363
0min1sec,0,1870,0.477,7.361
0min1sec,0,1880,0.475,7.360
0min1sec,0,1890,0.474,7.359
0min1sec,0,1900,0.472,7.357
0min1sec,0,1910,0.472,7.356
0min1sec,0,1920,0.470,7.355
0min1sec,0,1930,0.469,7.354
0min1sec,0,1940,0.467,7.352
0min1sec,0,1950,0.466,7.351
0min1sec,0,1960,0.465,7.350
0min1sec,0,1970,0.464,7.349
0min1sec,0,1980,0.464,7.347
0min1sec,0,1990,0.462,7.346
0min1sec,0,2000,0.461,7.345
0min1sec,0,2010,0.460,7.343
0min1sec,0,2020,0.458,7.342
0min1sec,0,2030,0.456,7.341
0min1sec,0,2040,0.456,7.339
0min1sec,0,2050,0.454,7.338
0min1sec,0,2060,0.453,7.337
0min1sec,0,2070,0.452,7.336
0min1sec,0,2080,0.450,7.335
0min1sec,0,2090,0.448,7.334
0min1sec,0,2100,0.448,7.333
0min1sec,0,2110,0.447,7.332
0min1sec,0,2120,0.446,7.331
0min1sec,0,2130,0.445,7.330
0min1sec,0,2140,0.445,7.329
0min1sec,0,2150,0.444,7.328
0min1sec,0,2160,0.444,7.327
0min1sec,0,2170,0.442,7.325
0min1sec,0,2180,0.441,7.324
0min1sec,0,2190,0.440,7.323
0min1sec,0,2200,0.438,7.323
0min1sec,0,2210,0.438,7.322
0min1sec,0,2220,0.438,7.321
0min1sec,0,2230,0.437,7.320
0min1sec,0,2240,0.436,7.319
0min1sec,0,2250,0.435,7.318
0min1sec,0,2260,0.434,7.317
0min1sec,0,2270,0.433,7.316
0min1sec,0,2280,0.433,7.315
0min1sec,0,2290,0.432,7.314
0min1sec,0,2300,0.432,7.313
0min1sec,0,2310,0.430,7.312
0min1sec,0,2320,0.429,7.311
0min1sec,0,2330,0.429,7.310
0min1sec,0,2340,0.428,7.309
0min1sec,0,2350,0.427,7.308
0min1sec,0,2360,0.426,7.307
0min1sec,0,2370,0.425,7.306
0min1sec,0,2380,0.424,7.305
0min1sec,0,2390,0.424,7.304
0min1sec,0,2400,0.423,7.303
0min1sec,0,2410,0.423,7.302
0min1sec,0,2420,0.422,7.301
0min1sec,0,2430,0.421,7.300
0min1sec,0,2440,0.420,7.299
0min1sec,0,2450,0.418,7.299
0min1sec,0,2460,0.417,7.298
0min1sec,0,2470,0.417,7.297
0min1sec,0,2480,0.416,7.296
0min1sec,0,2490,0.416,7.295
3min0sec,1,0,-0.517,7.088
0min1sec,1,10,-0.737,7.113
0min1sec,1,20,-0.660,7.103
0min1sec,1,30,-0.579,7.095
0min1sec,1,40,-0.624,7.097
0min1sec,1,50,-0.664,7.100
0min1sec,1,60,-0.708,7.104
0min1sec,1,70,-0.691,7.100
0min1sec,1,80,-0.690,7.098
0min1sec,1,90,-0.697,7.100
0min1sec,1,100,-0.677,7.098
0min1sec,1,110,-0.669,7.100
0min1sec,1,120,-0.669,7.102
0min1sec,1,130,-0.667,7.103
0min1sec,1,140,-0.683,7.104
0min1sec,1,150,-0.682,7.105
0min1sec,1,160,-0.653,7.102
0min1sec,1,170,-0.632,7.100
0min1sec,1,180,-0.609,7.097
0min1sec,1,190,-0.597,7.096
0min1sec,1,200,-0.577,7.093
0min1sec,1,210,-0.581,7.094
